Reference, Value, Footprint, Datasheet, Price, Package, MF, Availability, Description, MP
"J3","CONN_01X07","Pin_Headers:Pin_Header_Straight_1x07_Pitch2.54mm",""
"J5","CONN_01X07","Pin_Headers:Pin_Header_Straight_1x07_Pitch2.54mm",""
"U1","TSL2561T(6P-3.8X2.6MM)","TSL2561T_6P-3.8X2.6MM_:TMB6-1.55-3.8X2.6MM","TSL2561T","2.50 USD","None","TAOS","Good","Light to Digital Converters Light to Digital with I2C",""
"U2","BMP180","BMP180:BMP180","Sensor Pressure Abs","None","None","Bosch Sensortec","Unavailable","","BMP180"
"U3","SI7020-A20-YM0R","SI7020-A20-YM0R:SON100P300X300X80-7N","SI7020-A20-YM0R","3.20 USD","DFN-6 Silicon Labs","Silicon Labs","Unavailable","Digital Temperature/Humidity Sensor 6-Pin DFN T/R",""
"C1","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"R1","4.7k","Resistors_SMD:R_0603_HandSoldering",""
"C3","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"C2","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"C4","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"J1","GS2","Connectors:GS2",""
"J2","GS3","Connectors:GS3",""
"J9","GS3","Connectors:GS3",""
"J7","GS3","Connectors:GS3",""
"J8","GS3","Connectors:GS3",""
